sentences,labels
"Universitetskaya Embankment ( ) is a 1.2   km long embankment on the right bank of the Bolshaya Neva , on Vasilievsky Island in <e1> Saint Petersburg </e1> , <e2> Russia </e2> .",country
"Universitetskaya Embankment ( ) is a 1.2   km long embankment on the right bank of the Bolshaya Neva , on Vasilievsky Island in <e2> Saint Petersburg </e2> , <e1> Russia </e1> .",contains administrative territorial entity
"<e1> Universitetskaya Embankment </e1> ( ) is a 1.2   km long embankment on the right bank of the Bolshaya Neva , on Vasilievsky Island in Saint Petersburg , <e2> Russia </e2> .",country
"Universitetskaya Embankment ( ) is a 1.2   km long embankment on the right bank of the Bolshaya Neva , on Vasilievsky Island in <e1> Saint Petersburg </e1> , <e2> Russia </e2> .",located in the administrative territorial entity
"The Jingyihuo railway ( ) , short for Jinghe – Yining – Khorgas railway , is the first electrified railway in operation in <e1> Xinjiang </e1> , <e2> China </e2> .",located in the administrative territorial entity
"The Jingyihuo railway ( ) , short for Jinghe – Yining – Khorgas railway , is the first electrified railway in operation in <e1> Xinjiang </e1> , <e2> China </e2> .",country
"The Jingyihuo railway ( ) , short for Jinghe – Yining – Khorgas railway , is the first electrified railway in operation in <e2> Xinjiang </e2> , <e1> China </e1> .",contains administrative territorial entity
"<e1> Germinie Lacerteux </e1> ( <e2> 1865 </e2> ) is a grim , anti - Romantic novel by Edmond and Jules de Goncourt in which the authors aim to present , as they say , a "" clinic of love . """,publication date
"<e1> Germinie Lacerteux </e1> ( 1865 ) is a grim , anti - Romantic novel by Edmond and <e2> Jules de Goncourt </e2> in which the authors aim to present , as they say , a "" clinic of love . """,author
"<e1> Germinie Lacerteux </e1> ( 1865 ) is a grim , anti - Romantic novel by <e2> Edmond </e2> and Jules de Goncourt in which the authors aim to present , as they say , a "" clinic of love . """,author
"In addition to the comic , <e1> Holkins </e1> and Krahulik also created <e2> Child 's Play </e2> , a children 's charity ; PAX , a gaming convention ; Penny Arcade TV , a YouTube channel ; Pinny Arcade , a pin exchange ; and the episodic video game with Hothead Games and Zeboyd Games .",founded by
"In addition to the comic , <e1> Holkins </e1> and Krahulik also created Child 's Play , a children 's charity ; <e2> PAX </e2> , a gaming convention ; Penny Arcade TV , a YouTube channel ; Pinny Arcade , a pin exchange ; and the episodic video game with Hothead Games and Zeboyd Games .",founded by
"In addition to the comic , Holkins and <e1> Krahulik </e1> also created <e2> Child 's Play </e2> , a children 's charity ; PAX , a gaming convention ; Penny Arcade TV , a YouTube channel ; Pinny Arcade , a pin exchange ; and the episodic video game with Hothead Games and Zeboyd Games .",founded by
"In addition to the comic , Holkins and <e1> Krahulik </e1> also created Child 's Play , a children 's charity ; <e2> PAX </e2> , a gaming convention ; Penny Arcade TV , a YouTube channel ; Pinny Arcade , a pin exchange ; and the episodic video game with Hothead Games and Zeboyd Games .",founded by
<e1> Delphine Halgand - Mishra </e1> ( born <e2> 1985 </e2> ) is a French journalist and advocate for freedom of the press .,date of birth
She testified at the US Congress and the <e1> United Nations </e1> in <e2> New York </e2> .,headquarters location
She testified at the <e1> US Congress </e1> and the United Nations in <e2> New York </e2> .,headquarters location
"On January 7 , 2016 , just after the Charlie Hebdo shooting , she was interviewed by <e1> Fox News </e1> in <e2> Paris </e2> .",headquarters location
"<e1> Christina Schmuck </e1> ( sometimes listed as Christa Schmuck , born <e2> 26 January 1944 </e2> ) is a West German luger who competed during the late 1960s and early 1970s .",date of birth
"<e1> Christina Schmuck </e1> ( sometimes listed as Christa Schmuck , born 26 January 1944 ) is a <e2> West German </e2> luger who competed during the late 1960s and early 1970s .",country of citizenship
"At the <e1> 1968 Winter Olympics </e1> in <e2> Grenoble </e2> , she originally finished fifth in the women 's singles event , but was awarded the silver medal upon the disqualifications of the East German team of Ortrun Enderlein ( who finished first ) , Anna - Maria Müller ( second ) , and Angela Knösel ( fourth ) when the East Germans were discovered to have their runners being illegally heated .",location
"At the <e2> 1968 Winter Olympics </e2> in Grenoble , she originally finished fifth in the women 's singles event , but was awarded the silver medal upon the disqualifications of the East German team of <e1> Ortrun Enderlein </e1> ( who finished first ) , Anna - Maria Müller ( second ) , and Angela Knösel ( fourth ) when the East Germans were discovered to have their runners being illegally heated .",participant of
"At the 1968 Winter Olympics in Grenoble , she originally finished fifth in the women 's singles event , but was awarded the silver medal upon the disqualifications of the <e2> East German </e2> team of <e1> Ortrun Enderlein </e1> ( who finished first ) , Anna - Maria Müller ( second ) , and Angela Knösel ( fourth ) when the East Germans were discovered to have their runners being illegally heated .",country of citizenship
"At the <e2> 1968 Winter Olympics </e2> in Grenoble , she originally finished fifth in the women 's singles event , but was awarded the silver medal upon the disqualifications of the East German team of Ortrun Enderlein ( who finished first ) , <e1> Anna - Maria Müller </e1> ( second ) , and Angela Knösel ( fourth ) when the East Germans were discovered to have their runners being illegally heated .",participant of
"At the 1968 Winter Olympics in Grenoble , she originally finished fifth in the women 's singles event , but was awarded the silver medal upon the disqualifications of the <e2> East German </e2> team of Ortrun Enderlein ( who finished first ) , <e1> Anna - Maria Müller </e1> ( second ) , and Angela Knösel ( fourth ) when the East Germans were discovered to have their runners being illegally heated .",country of citizenship
"At the <e2> 1968 Winter Olympics </e2> in Grenoble , she originally finished fifth in the women 's singles event , but was awarded the silver medal upon the disqualifications of the East German team of Ortrun Enderlein ( who finished first ) , Anna - Maria Müller ( second ) , and <e1> Angela Knösel </e1> ( fourth ) when the East Germans were discovered to have their runners being illegally heated .",participant of
"At the 1968 Winter Olympics in Grenoble , she originally finished fifth in the women 's singles event , but was awarded the silver medal upon the disqualifications of the <e2> East German </e2> team of Ortrun Enderlein ( who finished first ) , Anna - Maria Müller ( second ) , and <e1> Angela Knösel </e1> ( fourth ) when the East Germans were discovered to have their runners being illegally heated .",country of citizenship
"At the 1968 Winter Olympics in Grenoble , she originally finished fifth in the women 's singles event , but was awarded the silver medal upon the disqualifications of the East German team of Ortrun Enderlein ( who finished first ) , <e1> Anna - Maria Müller </e1> ( second ) , and Angela Knösel ( fourth ) when the <e2> East Germans </e2> were discovered to have their runners being illegally heated .",country of citizenship
"At the 1968 Winter Olympics in Grenoble , she originally finished fifth in the women 's singles event , but was awarded the silver medal upon the disqualifications of the East German team of Ortrun Enderlein ( who finished first ) , Anna - Maria Müller ( second ) , and <e1> Angela Knösel </e1> ( fourth ) when the <e2> East Germans </e2> were discovered to have their runners being illegally heated .",country of citizenship
<e1> Schmuck </e1> also won two medals in the women 's singles event at the <e2> FIL World Luge Championships </e2> with a silver in 1970 and a bronze in 1969 .,participant of
<e1> The Best of the Art of Noise </e1> is the name of a series of compilation albums with songs by the British synthpop band <e2> The Art of Noise </e2> .,performer
The Best of the Art of Noise is the name of a series of compilation albums with songs by the <e2> British </e2> synthpop band <e1> The Art of Noise </e1> .,country of origin
"A <e2> Japanese </e2> CD version from 1991 was identical to the standard CD but contained two more mixes of "" <e1> Kiss </e1> "" as bonus tracks .",country of origin
"In 1992 , <e2> China Records </e2> reissued The Best of and added "" Yebo , "" "" <e1> Instruments of Darkness </e1> "" and "" Robinson Crusoe , "" while omitting the three tracks that were licensed from ZTT Records and included on the 1988 release : "" Beatbox , "" "" Moments in Love "" and "" Close ( To the Edit ) . """,record label
"In <e2> 1992 </e2> , China Records reissued The Best of and added "" Yebo , "" "" <e1> Instruments of Darkness </e1> "" and "" Robinson Crusoe , "" while omitting the three tracks that were licensed from ZTT Records and included on the 1988 release : "" Beatbox , "" "" Moments in Love "" and "" Close ( To the Edit ) . """,publication date
"In 1992 , China Records reissued The Best of and added "" Yebo , "" "" Instruments of Darkness "" and "" Robinson Crusoe , "" while omitting the three tracks that were licensed from ZTT Records and included on the <e2> 1988 </e2> release : "" <e1> Beatbox </e1> , "" "" Moments in Love "" and "" Close ( To the Edit ) . """,publication date
"In 1992 , China Records reissued The Best of and added "" Yebo , "" "" Instruments of Darkness "" and "" Robinson Crusoe , "" while omitting the three tracks that were licensed from <e2> ZTT Records </e2> and included on the 1988 release : "" <e1> Beatbox </e1> , "" "" Moments in Love "" and "" Close ( To the Edit ) . """,record label
"In 1992 , China Records reissued The Best of and added "" Yebo , "" "" Instruments of Darkness "" and "" Robinson Crusoe , "" while omitting the three tracks that were licensed from ZTT Records and included on the <e2> 1988 </e2> release : "" Beatbox , "" "" <e1> Moments in Love </e1> "" and "" Close ( To the Edit ) . """,publication date
"In 1992 , China Records reissued The Best of and added "" Yebo , "" "" Instruments of Darkness "" and "" Robinson Crusoe , "" while omitting the three tracks that were licensed from <e2> ZTT Records </e2> and included on the 1988 release : "" Beatbox , "" "" <e1> Moments in Love </e1> "" and "" Close ( To the Edit ) . """,record label
"In 1992 , <e2> China Records </e2> reissued The Best of and added "" <e1> Yebo </e1> , "" "" Instruments of Darkness "" and "" Robinson Crusoe , "" while omitting the three tracks that were licensed from ZTT Records and included on the 1988 release : "" Beatbox , "" "" Moments in Love "" and "" Close ( To the Edit ) . """,record label
"In 1992 , <e2> China Records </e2> reissued The Best of and added "" Yebo , "" "" Instruments of Darkness "" and "" <e1> Robinson Crusoe </e1> , "" while omitting the three tracks that were licensed from ZTT Records and included on the 1988 release : "" Beatbox , "" "" Moments in Love "" and "" Close ( To the Edit ) . """,record label
"In 1992 , China Records reissued The Best of and added "" Yebo , "" "" Instruments of Darkness "" and "" Robinson Crusoe , "" while omitting the three tracks that were licensed from <e2> ZTT Records </e2> and included on the 1988 release : "" Beatbox , "" "" Moments in Love "" and "" <e1> Close </e1> ( To the Edit ) . """,record label
"Pandora , daughter of King <e1> Deucalion </e1> and <e2> Pyrrha </e2> and granddaughter of the above figure .",spouse
"Pandora , daughter of King <e2> Deucalion </e2> and <e1> Pyrrha </e1> and granddaughter of the above figure .",spouse
"Pandora 's other sisters were <e1> Procris </e1> , Creusa , <e2> Oreithyia </e2> and Chthonia .",sibling
"Pandora 's other sisters were <e1> Procris </e1> , <e2> Creusa </e2> , Oreithyia and Chthonia .",sibling
"Pandora 's other sisters were <e2> Procris </e2> , Creusa , <e1> Oreithyia </e1> and Chthonia .",sibling
"Pandora 's other sisters were Procris , Creusa , <e1> Oreithyia </e1> and <e2> Chthonia </e2> .",sibling
"Pandora 's other sisters were Procris , <e2> Creusa </e2> , <e1> Oreithyia </e1> and Chthonia .",sibling
"Pandora 's other sisters were <e2> Procris </e2> , Creusa , Oreithyia and <e1> Chthonia </e1> .",sibling
"Pandora 's other sisters were Procris , Creusa , <e2> Oreithyia </e2> and <e1> Chthonia </e1> .",sibling
"Pandora 's other sisters were Procris , <e2> Creusa </e2> , Oreithyia and <e1> Chthonia </e1> .",sibling
"Pandora 's other sisters were <e2> Procris </e2> , <e1> Creusa </e1> , Oreithyia and Chthonia .",sibling
"Pandora 's other sisters were Procris , <e1> Creusa </e1> , <e2> Oreithyia </e2> and Chthonia .",sibling
"<e1> Joseph Arnaud Charles Gaillardot </e1> ( <e2> 20 September 1814 </e2> , in Lunéville – August 1883 , in Bhamdoun ) was a French physician and naturalist .",date of birth
"<e1> Joseph Arnaud Charles Gaillardot </e1> ( 20 September 1814 , in <e2> Lunéville </e2> – August 1883 , in Bhamdoun ) was a French physician and naturalist .",place of birth
"<e1> Joseph Arnaud Charles Gaillardot </e1> ( 20 September 1814 , in Lunéville – <e2> August 1883 </e2> , in Bhamdoun ) was a French physician and naturalist .",date of death
"<e1> Joseph Arnaud Charles Gaillardot </e1> ( 20 September 1814 , in Lunéville – August 1883 , in <e2> Bhamdoun </e2> ) was a French physician and naturalist .",place of death
"<e1> Amanda Sørensen </e1> ( born <e2> November 18 , 1985 </e2> in Skanderborg ) is a retired Danish amateur BMX cyclist .",date of birth
"<e1> Amanda Sørensen </e1> ( born November 18 , 1985 in <e2> Skanderborg </e2> ) is a retired Danish amateur BMX cyclist .",place of birth
"Having started her sporting career at the age of seven and been admitted to the Danish national cycling team since 2002 , <e1> Sorensen </e1> has mounted numerous Nordic regional titles and top - eight finishes in BMX racing at the <e2> European Championships </e2> , and admittedly , participated in more than 300 BMX circuits across Australia , the United States , Brazil , and Europe .",participant of
"<e1> Sorensen </e1> qualified for the Danish squad in women 's BMX cycling at the 2008 Summer Olympics in Beijing by receiving an invitational berth from the Union Cycliste Internationale ( UCI ) based on her best performance at the <e2> UCI World Championships </e2> in Victoria , British Columbia , Canada .",participant of
"Sorensen qualified for the Danish squad in women 's BMX cycling at the <e1> 2008 Summer Olympics </e1> in <e2> Beijing </e2> by receiving an invitational berth from the Union Cycliste Internationale ( UCI ) based on her best performance at the UCI World Championships in Victoria , British Columbia , Canada .",location
"Sorensen qualified for the Danish squad in women 's BMX cycling at the 2008 Summer Olympics in Beijing by receiving an invitational berth from the Union Cycliste Internationale ( UCI ) based on her best performance at the <e1> UCI World Championships </e1> in Victoria , British Columbia , <e2> Canada </e2> .",country
"Sorensen qualified for the Danish squad in women 's BMX cycling at the 2008 Summer Olympics in Beijing by receiving an invitational berth from the Union Cycliste Internationale ( UCI ) based on her best performance at the UCI World Championships in Victoria , <e1> British Columbia </e1> , <e2> Canada </e2> .",located in the administrative territorial entity
"Sorensen qualified for the Danish squad in women 's BMX cycling at the 2008 Summer Olympics in Beijing by receiving an invitational berth from the Union Cycliste Internationale ( UCI ) based on her best performance at the UCI World Championships in Victoria , <e1> British Columbia </e1> , <e2> Canada </e2> .",country
"Sorensen qualified for the Danish squad in women 's BMX cycling at the 2008 Summer Olympics in Beijing by receiving an invitational berth from the Union Cycliste Internationale ( UCI ) based on her best performance at the UCI World Championships in Victoria , <e2> British Columbia </e2> , <e1> Canada </e1> .",contains administrative territorial entity
<e1> Tales of Mystery and Imagination </e1> is the debut studio album by English rock band <e2> The Alan Parsons Project </e2> .,performer
"Musicians featured on the album include vocalists <e2> Arthur Brown </e2> of <e1> The Crazy World of Arthur Brown </e1> on "" The Tell Tale Heart "" , John Miles on "" The Cask of Amontillado "" and "" ( The System of ) Dr. Tarr and Professor Fether "" , and Terry Sylvester of The Hollies on "" To One In Paradise "" .",has part
"Musicians featured on the album include vocalists Arthur Brown of The Crazy World of Arthur Brown on "" The Tell Tale Heart "" , John Miles on "" The Cask of Amontillado "" and "" ( The System of ) Dr. Tarr and Professor Fether "" , and <e2> Terry Sylvester </e2> of <e1> The Hollies </e1> on "" To One In Paradise "" .",has part
"<e1> John Moran Bailey </e1> ( November 23 , 1904 – April 10 , 1975 ) was an <e2> American </e2> politician who played a major role in promoting the New Deal coalition of the Democratic Party and its liberal policy positions .",country of citizenship
"<e1> John Moran Bailey </e1> ( November 23 , 1904 – April 10 , 1975 ) was an American politician who played a major role in promoting the <e2> New Deal coalition </e2> of the Democratic Party and its liberal policy positions .",member of political party
"<e1> John Moran Bailey </e1> ( <e2> November 23 , 1904 </e2> – April 10 , 1975 ) was an American politician who played a major role in promoting the New Deal coalition of the Democratic Party and its liberal policy positions .",date of birth
"<e1> John Moran Bailey </e1> ( November 23 , 1904 – <e2> April 10 , 1975 </e2> ) was an American politician who played a major role in promoting the New Deal coalition of the Democratic Party and its liberal policy positions .",date of death
"An Irish Catholic , <e1> Bailey </e1> was educated at The <e2> Catholic University of America </e2> and Harvard Law School .",educated at
"An Irish Catholic , <e1> Bailey </e1> was educated at The Catholic University of America and <e2> Harvard Law School </e2> .",educated at
"The Verein Seglerhaus am Wannsee ( VSaW ) ( meaning : "" Sailing house by the <e1> Wann Lake Union </e1> "" ) is the second oldest yacht club in <e2> Germany </e2> after Segelclub RHE .",country
"The Verein Seglerhaus am Wannsee ( <e1> VSaW </e1> ) ( meaning : "" Sailing house by the Wann Lake Union "" ) is the second oldest yacht club in <e2> Germany </e2> after Segelclub RHE .",country
"The Verein Seglerhaus am Wannsee ( VSaW ) ( meaning : "" Sailing house by the Wann Lake Union "" ) is the second oldest yacht club in <e2> Germany </e2> after <e1> Segelclub RHE </e1> .",country
The first tlacochcalcatl was instated under the rule of <e2> Huitzilihuitl </e2> who appointed his brother <e1> Itzcoatl </e1> who probably also served during the rule of Chimalpopoca .,sibling
"Middletown is a city located in Butler and <e1> Warren </e1> counties in the southwestern part of the <e2> U.S. </e2> state of Ohio , about 29 miles northeast of Cincinnati .",country
"Middletown is a city located in Butler and <e1> Warren </e1> counties in the southwestern part of the U.S. state of <e2> Ohio </e2> , about 29 miles northeast of Cincinnati .",located in the administrative territorial entity
"Middletown is a city located in Butler and Warren counties in the southwestern part of the <e1> U.S. </e1> state of <e2> Ohio </e2> , about 29 miles northeast of Cincinnati .",contains administrative territorial entity
"Middletown is a city located in Butler and <e2> Warren </e2> counties in the southwestern part of the U.S. state of <e1> Ohio </e1> , about 29 miles northeast of Cincinnati .",contains administrative territorial entity
"Middletown is a city located in Butler and Warren counties in the southwestern part of the <e2> U.S. </e2> state of <e1> Ohio </e1> , about 29 miles northeast of Cincinnati .",located in the administrative territorial entity
"Middletown is a city located in Butler and Warren counties in the southwestern part of the <e2> U.S. </e2> state of <e1> Ohio </e1> , about 29 miles northeast of Cincinnati .",country
"Middletown is a city located in <e2> Butler </e2> and Warren counties in the southwestern part of the U.S. state of <e1> Ohio </e1> , about 29 miles northeast of Cincinnati .",contains administrative territorial entity
"Middletown is a city located in Butler and Warren counties in the southwestern part of the <e2> U.S. </e2> state of Ohio , about 29 miles northeast of <e1> Cincinnati </e1> .",country
"Middletown is a city located in <e1> Butler </e1> and Warren counties in the southwestern part of the <e2> U.S. </e2> state of Ohio , about 29 miles northeast of Cincinnati .",country
"Middletown is a city located in <e1> Butler </e1> and Warren counties in the southwestern part of the U.S. state of <e2> Ohio </e2> , about 29 miles northeast of Cincinnati .",located in the administrative territorial entity
"<e1> Middletown </e1> is a city located in Butler and Warren counties in the southwestern part of the U.S. state of <e2> Ohio </e2> , about 29 miles northeast of Cincinnati .",located in the administrative territorial entity
"The city was the home of <e1> AK Steel Holding Corporation </e1> ( formerly Armco ) , a major steel works founded in <e2> 1900 </e2> until offices were moved to West Chester Township , Ohio in 2007 , but AK Steel 's factory still resides in Middletown .",inception
"The city was the home of <e1> AK Steel Holding Corporation </e1> ( formerly Armco ) , a major steel works founded in 1900 until offices were moved to <e2> West Chester Township </e2> , Ohio in 2007 , but AK Steel 's factory still resides in Middletown .",headquarters location
""" <e1> Test for Echo </e1> "" is the title track and first single from Canadian rock band Rush 's 16th studio album released in <e2> 1996 </e2> .",publication date
""" <e1> Test for Echo </e1> "" is the title track and first single from Canadian rock band <e2> Rush </e2> 's 16th studio album released in 1996 .",performer
"It was the band 's fourth consecutive album to yield a chart - topper on this chart , along with "" Stick It Out "" from Counterparts , "" <e1> Show Do n't Tell </e1> "" from <e2> Presto </e2> and "" Dreamline "" from Roll the Bones .",part of
"It was the band 's fourth consecutive album to yield a chart - topper on this chart , along with "" <e1> Stick It Out </e1> "" from <e2> Counterparts </e2> , "" Show Do n't Tell "" from Presto and "" Dreamline "" from Roll the Bones .",part of
"It was the band 's fourth consecutive album to yield a chart - topper on this chart , along with "" Stick It Out "" from Counterparts , "" Show Do n't Tell "" from Presto and "" <e1> Dreamline </e1> "" from <e2> Roll the Bones </e2> .",part of
"<e1> Wrangler : Anatomy of an Icon </e1> is a 2008 feature documentary film about the life of Jack Wrangler , produced and directed by <e2> Jeffrey Schwarz </e2> of Automat Pictures .",director
"<e1> Wrangler </e1> died on <e2> April 7 , 2009 </e2> at the age of 62 due to emphysema .",date of death
"<e1> Jacques Lanxade </e1> ( born <e2> 8 September 1934 </e2> ) is a French admiral and former navy chief , and co - author of a recent proposed reform of NATO .",date of birth
"He was a private chief of staff of <e2> François Mitterrand </e2> , President of the <e1> French Republic </e1> , from 1989 to 1991 , and became chief of defense of the French Armed Forces from 1991 to 1995 .",head of state
It was also during this period that the <e1> Rwandan Genocide </e1> took place in <e2> 1994 </e2> .,start time
It was also during this period that the <e1> Rwandan Genocide </e1> took place in <e2> 1994 </e2> .,point in time
"Bretton Woods is an area within the town of Carroll , <e1> New Hampshire </e1> , <e2> United States </e2> , whose principal points of interest are three leisure and recreation facilities .",located in the administrative territorial entity
"Bretton Woods is an area within the town of Carroll , <e1> New Hampshire </e1> , <e2> United States </e2> , whose principal points of interest are three leisure and recreation facilities .",country
"Bretton Woods is an area within the town of Carroll , <e2> New Hampshire </e2> , <e1> United States </e1> , whose principal points of interest are three leisure and recreation facilities .",contains administrative territorial entity
"Bretton Woods is an area within the town of <e1> Carroll </e1> , New Hampshire , <e2> United States </e2> , whose principal points of interest are three leisure and recreation facilities .",country
"<e1> Bretton Woods </e1> is an area within the town of Carroll , <e2> New Hampshire </e2> , United States , whose principal points of interest are three leisure and recreation facilities .",located in the administrative territorial entity
"<e1> Bretton Woods </e1> is an area within the town of Carroll , New Hampshire , <e2> United States </e2> , whose principal points of interest are three leisure and recreation facilities .",country
"Being virtually surrounded by the White Mountain National Forest , the vista from Bretton Woods toward <e1> Mount Washington </e1> and the <e2> Presidential Range </e2> includes no significant artificial structures other than the Mount Washington Cog Railway and the Mount Washington Hotel .",located on terrain feature
Bretton Woods was the site of the United Nations Monetary and Financial Conference in 1944 which has given its name to the Bretton Woods system and led to the establishment of both the <e1> World Bank </e1> and the International Monetary Fund in <e2> 1945 </e2> .,inception
"In 1772 King George III granted Sir Thomas Wentworth of <e1> Bretton Hall </e1> , a country house in <e2> West Bretton </e2> , West Yorkshire , and 82 others , a parcel of of land to be laid out as a plantation in the White Mountains .",located in the administrative territorial entity
"Saturday Nights & Sunday Mornings is the fifth studio album by <e1> Counting Crows </e1> , released in the <e2> United States </e2> on March 25 , 2008 .",country of origin
"<e1> Saturday Nights & Sunday Mornings </e1> is the fifth studio album by Counting Crows , released in the United States on <e2> March 25 , 2008 </e2> .",publication date
"<e1> Saturday Nights & Sunday Mornings </e1> is the fifth studio album by <e2> Counting Crows </e2> , released in the United States on March 25 , 2008 .",performer
"<e1> Saturday Nights & Sunday Mornings </e1> is the fifth studio album by Counting Crows , released in the <e2> United States </e2> on March 25 , 2008 .",country of origin
"The Saturday Nights portion was produced by Gil Norton ( who also produced the band 's second album , Recovering the Satellites ) , while Sunday Mornings was produced by Brian Deck , perhaps best known for his production work on <e2> Modest Mouse </e2> 's album <e1> The Moon and Antarctica </e1> .",performer
"<e1> George Louis Costanza </e1> is a character in the American television sitcom Seinfeld ( 1989 – 1998 ) , played by <e2> Jason Alexander </e2> .",performer
"George Louis Costanza is a character in the American television sitcom <e1> Seinfeld </e1> ( <e2> 1989 </e2> – 1998 ) , played by Jason Alexander .",start time
"George Louis Costanza is a character in the American television sitcom <e1> Seinfeld </e1> ( 1989 – <e2> 1998 </e2> ) , played by Jason Alexander .",end time
"The character was originally based on Seinfeld co - creator Larry David but is surnamed after <e1> Jerry Seinfeld </e1> 's real - life <e2> New York </e2> friend , Mike Costanza .",residence
"<e1> James Wilson </e1> ( <e2> August 16 , 1766 </e2> – January 4 , 1839 ) was a U.S. Representative from New Hampshire , father of James Wilson ( 1797 - 1881 ) .",date of birth
"<e1> James Wilson </e1> ( August 16 , 1766 – January 4 , 1839 ) was a <e2> U.S. </e2> Representative from New Hampshire , father of James Wilson ( 1797 - 1881 ) .",country of citizenship
"James Wilson ( August 16 , 1766 – January 4 , 1839 ) was a <e1> U.S. </e1> Representative from <e2> New Hampshire </e2> , father of James Wilson ( 1797 - 1881 ) .",contains administrative territorial entity
"James Wilson ( August 16 , 1766 – January 4 , 1839 ) was a <e2> U.S. </e2> Representative from <e1> New Hampshire </e1> , father of James Wilson ( 1797 - 1881 ) .",located in the administrative territorial entity
"James Wilson ( August 16 , 1766 – January 4 , 1839 ) was a <e2> U.S. </e2> Representative from <e1> New Hampshire </e1> , father of James Wilson ( 1797 - 1881 ) .",country
"Born in <e2> Peterborough </e2> , New Hampshire , <e1> Wilson </e1> attended Phillips Academy , Andover , Massachusetts , and graduated from Harvard University in 1789 .",place of birth
"Born in Peterborough , New Hampshire , <e1> Wilson </e1> attended <e2> Phillips Academy </e2> , Andover , Massachusetts , and graduated from Harvard University in 1789 .",educated at
"Born in Peterborough , New Hampshire , <e1> Wilson </e1> attended Phillips Academy , Andover , Massachusetts , and graduated from <e2> Harvard University </e2> in 1789 .",educated at
"Born in Peterborough , New Hampshire , Wilson attended <e1> Phillips Academy </e1> , Andover , <e2> Massachusetts </e2> , and graduated from Harvard University in 1789 .",located in the administrative territorial entity
"<e1> Wilson </e1> was elected as a <e2> Federalist </e2> to the Eleventh Congress ( March 4 , 1809 – March 3 , 1811 ) .",member of political party
"<e1> Penny Sue Pritzker </e1> ( born <e2> May 2 , 1959 </e2> ) is an American billionaire businesswoman , entrepreneur , and civic leader .",date of birth
President <e1> Barack Obama </e1> nominated Pritzker as <e2> United States </e2> Secretary of Commerce .,country of citizenship
President Barack Obama nominated <e2> Pritzker </e2> as United States Secretary of <e1> Commerce </e1> .,chairperson
"Pritzker was an early supporter of <e1> Obama </e1> 's presidential candidacy , having been a friend of the Obama family since their time in <e2> Chicago </e2> .",work location
"<e1> Neil Marshall </e1> ( born <e2> 25 May 1970 </e2> ) is an English film director , editor and screenwriter .",date of birth
"<e2> Marshall </e2> began his career in editing and in 2002 directed his first feature film <e1> Dog Soldiers </e1> , a horror - comedy film which became a cult film .",director
"Marshall began his career in editing and in <e2> 2002 </e2> directed his first feature film <e1> Dog Soldiers </e1> , a horror - comedy film which became a cult film .",publication date
He followed up with the critically acclaimed horror film <e1> The Descent </e1> in <e2> 2005 </e2> .,publication date
"<e2> Marshall </e2> also directed <e1> Doomsday </e1> in 2008 , and wrote and directed Centurion in 2010 .",director
"Marshall also directed <e1> Doomsday </e1> in <e2> 2008 </e2> , and wrote and directed Centurion in 2010 .",publication date
"<e2> Marshall </e2> also directed Doomsday in 2008 , and wrote and directed <e1> Centurion </e1> in 2010 .",director
"Marshall also directed Doomsday in 2008 , and wrote and directed <e1> Centurion </e1> in <e2> 2010 </e2> .",publication date
"He has also directed two prominent episodes of <e2> US </e2> television series <e1> Game of Thrones </e1> : "" Blackwater "" and "" The Watchers on the Wall "" , with particular acclaim for his direction on both occasions , as well as a nomination for a Primetime Emmy Award for Outstanding Directing for a Drama Series for "" The Watchers on the Wall "" .",country of origin
"He has also directed two prominent episodes of <e2> US </e2> television series Game of Thrones : "" <e1> Blackwater </e1> "" and "" The Watchers on the Wall "" , with particular acclaim for his direction on both occasions , as well as a nomination for a Primetime Emmy Award for Outstanding Directing for a Drama Series for "" The Watchers on the Wall "" .",country
"He has also directed two prominent episodes of US television series <e2> Game of Thrones </e2> : "" <e1> Blackwater </e1> "" and "" The Watchers on the Wall "" , with particular acclaim for his direction on both occasions , as well as a nomination for a Primetime Emmy Award for Outstanding Directing for a Drama Series for "" The Watchers on the Wall "" .",series
"He has also directed two prominent episodes of US television series <e2> Game of Thrones </e2> : "" Blackwater "" and "" The Watchers on the Wall "" , with particular acclaim for his direction on both occasions , as well as a nomination for a Primetime Emmy Award for Outstanding Directing for a Drama Series for "" <e1> The Watchers on the Wall </e1> "" .",series
"He has also directed two prominent episodes of <e2> US </e2> television series Game of Thrones : "" Blackwater "" and "" The Watchers on the Wall "" , with particular acclaim for his direction on both occasions , as well as a nomination for a <e1> Primetime Emmy Award </e1> for Outstanding Directing for a Drama Series for "" The Watchers on the Wall "" .",country
"Mayon ( , , ) , also known as Mayon Volcano or Mount Mayon , is an active stratovolcano in the province of <e1> Albay </e1> in <e2> Bicol Region </e2> , on the large island of Luzon in the Philippines .",located in the administrative territorial entity
"Mayon ( , , ) , also known as Mayon Volcano or Mount Mayon , is an active stratovolcano in the province of <e1> Albay </e1> in Bicol Region , on the large island of Luzon in the <e2> Philippines </e2> .",country
"Mayon ( , , ) , also known as Mayon Volcano or Mount Mayon , is an active stratovolcano in the province of <e2> Albay </e2> in <e1> Bicol Region </e1> , on the large island of Luzon in the Philippines .",contains administrative territorial entity
